,trial,t,t_last_visible,d_last_visible,abs_angle_last_visible,hit_boundary,num_stops,num_stops_since_last_visible,num_stops_near_target,n_ff_in_a_row
0,1,0.0,0.25,264.0112871026686,1.177916924194128,False,0,0,0,1
1,2,2.25,0.25,102.98746508995411,3.141592653589793,False,1,0,1,2
2,3,2.75,0.0,291.40573427354826,3.141592653589793,False,6,0,1,1
3,4,3.75,1.75,177.07312058744532,3.141592653589793,False,7,5,5,1
4,5,16.25,0.25,207.2511557067349,3.141592653589793,False,32,0,1,1
5,6,1.0,2.0,320.7629396511883,0.6044573969538203,False,0,5,0,1
6,7,0.0,0.0,345.6506916870692,3.141592653589793,False,0,0,0,1
7,8,6.0,0.0,271.95232727197094,3.141592653589793,False,13,0,1,2
8,9,9.75,2.25,296.60812412225204,3.141592653589793,False,22,5,4,1
9,10,130.25,1.5,383.1891432270231,3.141592653589793,True,275,3,1,1
10,11,19.75,0.25,248.29302067342985,3.141592653589793,False,43,0,1,1
11,12,9.75,2.25,397.20882853763106,3.141592653589793,False,22,6,1,1
12,13,91.0,59.0,358.84995775308744,3.141592653589793,False,200,134,1,1
13,14,2.0,62.75,383.94822401278304,3.141592653589793,False,5,142,1,1
14,15,2.5,50.75,337.6058842738923,3.141592653589793,False,5,114,1,1
15,16,9.75,2.5,384.2004813993052,3.141592653589793,False,19,4,1,1
16,17,4.25,2.75,389.841081891182,3.141592653589793,False,8,5,1,1
17,18,29.5,3.25,360.5360674926359,3.141592653589793,False,71,7,1,1
18,19,3.25,0.0,373.4113516996603,3.141592653589793,False,6,0,1,1
19,20,48.25,0.0,340.55015762419504,3.141592653589793,True,106,0,1,1
20,21,4.75,60.25,379.908373974234,3.141592653589793,False,8,128,1,1
21,22,2.5,0.0,301.72782335652295,3.141592653589793,False,7,0,1,1
22,23,200.75,0.5,393.77298583888853,3.141592653589793,True,430,0,1,1
23,24,37.25,1.0,382.75826650686906,3.141592653589793,False,71,0,1,1
24,25,31.25,1.5,398.0029125716093,3.141592653589793,False,68,4,1,1
25,26,12.5,110.0,347.29033814362884,3.141592653589793,False,20,222,1,1
26,27,35.0,2.5,345.432138574826,3.141592653589793,False,70,6,1,1
27,28,75.0,3.75,254.93062590493193,3.141592653589793,True,156,9,1,1
28,29,41.25,2.0,368.59744016062433,3.141592653589793,False,100,4,1,1
29,30,14.25,22.5,388.2490475171323,3.141592653589793,False,26,42,1,1
30,31,16.25,31.5,393.62470686450575,3.141592653589793,False,38,66,1,1
31,32,1880.0,5.75,399.51437320966966,3.141592653589793,True,4105,13,1,1
