,trial,t,t_last_visible,d_last_visible,abs_angle_last_visible,hit_boundary,num_stops,num_stops_near_target,n_ff_in_a_row
216,217,1.75,1.5,399.70936132197494,0.0797241619267913,False,2,2,1
217,218,3.25,1.75,390.93972813865423,0.5017745420378165,False,2,2,1
218,219,1.5,1.5,226.32605782210206,0.0044393307473696575,False,1,1,1
219,220,0.5,1.0,391.22698166306367,0.5502110319453376,False,0,0,1
220,221,1.5,1.5,355.6937355170301,0.3830903906145604,False,3,3,2
221,222,3.75,0.5,398.58160327362896,0.574747653165973,False,2,2,1
222,223,2.5,1.0,352.56934422586244,0.5716726312087781,False,4,3,1
223,224,1.25,1.75,286.76339597723927,0.41510402544156505,False,0,0,1
224,225,1.0,1.5,132.05446636011553,0.19690946558008593,False,0,0,1
225,226,0.0,9999.0,9999.0,9999.0,False,0,0,1
226,227,2.0,1.5,298.0910069522868,0.5493376662237465,False,2,2,2
227,228,0.0,89.75,373.2821125701302,0.4113515929468612,False,0,0,1
228,229,1.75,2.0,280.52757291638056,0.5176426638708511,False,2,2,2
229,230,1.75,1.25,119.37636810153909,0.09200119693150732,False,2,1,1
230,231,0.5,1.0,377.9841336525595,0.2030088920375934,False,0,0,1
231,232,3.25,1.5,382.54075716846154,0.5576458769772078,False,2,2,2
232,233,2.0,0.5,375.3559966327045,0.40008717609813377,False,2,1,1
233,234,1.25,1.0,372.00466392600566,0.5812842425880034,False,0,0,1
234,235,4.0,2.25,388.4113073137558,0.572221511666122,False,2,2,1
235,236,0.0,2.0,393.9755533140898,0.4914061170813905,False,0,0,1
236,237,0.0,2.25,308.08807330423843,4.233006845086318e-05,False,0,0,2
237,238,1.5,1.25,228.70478551411898,0.5530475194313623,False,1,1,3
238,239,1.25,1.5,124.49677177175641,0.37611525290732656,False,0,0,1
239,240,1.25,9999.0,9999.0,9999.0,False,0,0,1
240,241,1.0,1.5,119.03523401266301,0.4029080537020703,False,0,0,1
241,242,2.25,1.0,327.1143281851143,0.4197673067215863,False,2,2,1
242,243,2.5,1.5,365.2395964920779,0.5256836902291985,False,2,2,1
243,244,4.25,1.5,304.7599154831454,0.11834858332956485,False,2,2,1
244,245,2.25,1.5,369.9327414335626,0.60138165738795,False,3,3,1
245,246,1.75,2.0,384.96520025906864,0.3137580232067625,False,2,2,1
246,247,1.0,1.0,394.94414605269037,0.42264931057108235,False,0,0,1
247,248,3.0,1.75,385.59065596939575,0.48223405054411483,False,2,2,2
248,249,1.0,2.5,388.12416103392053,0.4707462354202673,False,0,0,1
249,250,1.0,1.5,121.96317093816458,0.47563142342259307,False,0,0,1
250,251,0.0,2.0,356.6342253588238,0.41499928225363164,False,0,0,1
251,252,1.75,1.5,144.12384608974645,0.0,False,3,2,2
252,253,1.0,1.0,361.70889672954667,0.5801509755983514,False,0,0,1
253,254,3.5,2.0,238.78172093168064,0.0,False,1,1,1
254,255,1.5,1.75,329.30319124967224,0.5483195659504877,False,2,2,1
255,256,1.25,1.5,84.33297180472744,0.0,False,0,0,1
256,257,1.5,1.5,193.3852313905557,0.2806565730399916,False,2,2,1
257,258,2.0,1.5,288.2569635600944,0.2527052867400137,False,2,2,1
258,259,2.5,1.0,254.13763257884975,0.04852684178493656,False,1,1,1
259,260,3.25,1.0,198.4599189690235,0.5340088010465709,False,4,3,1
260,261,0.75,9999.0,9999.0,9999.0,False,0,0,1
261,262,2.5,1.75,373.03904040644846,0.4119945863900527,False,3,2,1
262,263,1.75,1.5,389.40461713277875,0.45916148885689767,False,2,2,1
263,264,2.75,2.0,389.1811656759398,0.5977405140570714,False,2,2,1
264,265,1.25,107.75,393.44283276469025,0.5065176752291594,False,0,0,1
265,266,0.0,1.5,264.1584628346526,0.5798988650731606,False,0,0,1
266,267,0.0,2.75,312.77421001175264,0.4711062805294066,False,0,0,2
267,268,2.5,1.75,355.8754453455263,0.47016268840305153,False,2,2,3
268,269,1.5,2.0,225.30269948966645,0.13661057283873204,False,2,2,1
269,270,7.25,1.25,157.3112684828724,0.10622758031589372,False,3,1,1
270,271,1.25,69.75,235.30369111292177,0.590745229744066,False,0,0,1
271,272,1.25,1.0,352.745241699304,0.6188340438682093,False,0,0,1
272,273,2.25,1.5,396.2363197514096,0.5694214184924423,False,2,2,1
273,274,0.0,22.5,320.15751171037545,0.3500658777240737,False,0,0,1
274,275,1.25,1.5,358.70212543005135,0.3640758429404902,False,0,0,2
275,276,1.0,1.0,396.3248812230828,0.38249859487971566,False,0,0,1
276,277,2.5,1.5,206.84348455487842,0.1426134308373423,False,1,1,1
277,278,5.75,1.5,376.7408711497669,0.4425106431544691,False,3,2,1
278,279,2.0,0.5,12.64740092443184,0.0,False,1,1,1
279,280,2.5,1.5,268.700942966276,0.5446626185103925,False,3,3,1
280,281,2.5,1.5,392.0721633656534,0.605480174682133,False,3,3,1
281,282,1.5,1.0,339.16323745001813,0.37259365019681395,False,2,2,1
282,283,0.0,9999.0,9999.0,9999.0,False,0,0,1
283,284,2.0,1.5,279.88609783924113,0.2716392776475691,False,2,2,2
284,285,0.0,1.5,240.71530260208849,0.5263975888048105,False,0,0,1
285,286,3.75,1.5,383.3886842054349,0.42616753504982424,False,1,1,2
286,287,1.5,1.25,297.53981503172145,0.5266309799703812,False,2,1,1
287,288,1.25,1.75,332.62602537777354,0.2557009797973789,False,0,0,1
288,289,3.0,2.0,295.62839535572033,0.5266810979723934,False,2,2,1
289,290,3.0,0.5,330.61329304571547,0.6111639296831813,False,2,1,1
290,291,0.0,2.0,372.3027007969137,0.010736822823685072,False,0,0,1
291,292,3.25,1.5,392.76346912232566,0.5978209863658551,False,3,2,2
292,293,1.75,1.5,373.0809161881565,0.5353710326760492,False,2,2,1
293,294,2.0,1.75,393.20502126416807,0.6071314728316974,False,2,2,1
294,295,1.5,1.5,391.92615323279057,0.4801037156058141,False,2,2,1
295,296,2.25,2.0,260.6109380735208,0.48952937870874447,False,3,2,1
296,297,1.5,1.25,353.6481352465603,0.4332783477279415,False,1,1,1
297,298,1.0,1.5,389.6869197001562,0.5600029766534096,False,0,0,1
298,299,1.5,1.5,388.08419318230506,0.27668479810765534,False,2,2,1
299,300,2.0,1.5,384.67286322803847,0.38942959426132656,False,2,2,1
300,301,1.25,1.0,392.12337619944464,0.5137131965434416,False,0,0,1
301,302,2.25,0.5,148.36258398504762,0.5205120248363369,False,2,2,1
302,303,2.75,1.25,209.69755609987234,0.5404569766328053,False,2,1,1
303,304,0.5,2.25,312.502917822378,0.543744939544892,False,0,0,1
304,305,0.5,1.5,390.842180979972,0.38135422592146323,False,0,0,2
305,306,2.5,1.5,120.53058416297367,0.0,False,2,1,3
306,307,2.25,1.0,379.10994901986436,0.33748628013755333,False,2,2,1
307,308,2.25,1.75,230.6028470124454,0.28113123193350714,False,2,2,1
308,309,2.5,1.0,397.25550939510487,0.518688929816392,False,3,3,1
309,310,0.0,2.25,369.2644778318778,0.3662237385398615,False,0,0,1
310,311,1.5,1.0,354.89317534078594,0.5974883416753571,False,2,2,2
311,312,5.25,1.5,278.40272445229834,0.497148838012455,False,1,1,1
312,313,2.25,1.5,225.6310134084162,0.2695949596611246,False,2,2,1
313,314,2.25,1.75,395.06727366580384,0.5561917478975857,False,2,2,1
314,315,1.5,1.5,244.30194728197205,0.3157749934045525,False,2,2,1
315,316,1.0,1.0,254.581424736232,0.4062537679641844,False,0,0,1
316,317,1.25,1.75,225.07591406174504,0.06422109416908767,False,0,0,1
317,318,3.0,2.0,338.7957654307497,0.5682788202961412,False,2,2,1
318,319,3.25,1.5,187.57873569063574,0.11805448592351217,False,4,2,1
319,320,1.0,1.0,90.21229183300406,0.0,False,0,0,1
320,321,0.0,1.25,195.90806092921508,0.0,False,0,0,1
321,322,6.5,1.75,198.07934472475407,0.4838136262743201,False,2,2,2
322,323,1.75,1.0,360.34049820638614,0.5928791736015668,False,1,1,1
323,324,1.0,1.0,399.01366946519306,0.5660042727619479,False,0,0,1
324,325,1.0,1.5,343.5675222489395,0.16842659919080916,False,0,0,1
325,326,1.75,1.75,395.31543150566847,0.5040515580115371,False,2,2,1
326,327,2.0,1.0,263.34879530228176,0.2959818265942902,False,2,2,1
327,328,2.5,1.0,381.32226265155566,0.569255603251564,False,2,2,1
328,329,0.0,9999.0,9999.0,9999.0,False,0,0,1
329,330,2.25,1.5,258.9065726268364,0.1853846101989642,False,2,2,2
330,331,0.5,1.0,238.47215712059628,0.2165266526979296,False,0,0,1
331,332,2.0,1.75,393.679075524652,0.5130680821113379,False,1,1,2
332,333,1.0,1.5,216.51435937061345,0.36508692318562347,False,0,0,1
333,334,1.5,1.5,115.47156642975855,0.38577491433324385,False,2,2,1
334,335,4.0,1.75,379.4194655887743,0.3972217508137348,False,2,2,1
335,336,1.25,1.25,395.9447459924978,0.3431395092776919,False,0,0,1
336,337,1.25,1.75,316.4098944680378,0.42692974463958555,False,0,0,1
337,338,0.5,1.0,356.88295156250484,0.41295747896391655,False,0,0,1
338,339,3.0,1.75,360.74659475434066,0.3583381586999471,False,3,1,2
339,340,1.0,1.5,372.57349890129416,0.5641120764380994,False,0,0,1
340,341,3.0,1.5,334.5842791128817,0.25666436064337445,False,1,1,1
341,342,2.0,1.75,303.8800440331687,0.6027161267128006,False,2,2,1
342,343,2.75,1.25,301.6094587998735,0.17612989549611754,False,2,2,1
343,344,0.5,2.0,147.3227648339165,0.023986978427962297,False,0,0,1
344,345,0.0,1.25,397.3968107818213,0.09110107421117704,False,0,0,2
345,346,0.5,1.0,68.84667890412321,0.16281132354676509,False,0,0,3
346,347,0.0,1.5,394.82207622620933,0.3771226558836612,False,0,0,4
347,348,3.5,1.5,355.5535490496903,0.3609027844498149,False,1,1,5
348,349,1.5,1.75,344.56719208189105,0.3288221904285948,False,2,2,1
349,350,2.25,0.5,384.7115356227368,0.5322345291203175,False,1,1,1
350,351,1.5,1.5,376.1178008621009,0.40735725696196323,False,3,3,1
351,352,1.25,1.75,230.66224983927816,0.1402358879404706,False,0,0,1
352,353,1.5,0.0,283.92600316317,0.11498279147837513,False,2,2,1
353,354,0.0,2.0,371.7337874721197,0.5969514032993932,False,0,0,1
354,355,1.0,4.0,388.94902874214023,0.5175207014458967,False,0,0,2
355,356,2.0,2.0,245.15050090254266,0.2538165575267305,False,1,1,3
356,357,0.5,1.5,350.0416981178863,0.35093888555968517,False,0,0,1
357,358,1.0,134.75,394.545574221034,0.5739631109411234,False,0,0,2
358,359,0.5,2.0,391.7484319237069,0.40502927673189687,False,0,0,1
359,360,3.0,1.75,388.7158417781978,0.596135881078107,False,2,2,2
360,361,0.5,1.0,73.75794654089437,0.0,False,0,0,1
361,362,2.75,2.0,262.64492926793076,0.3600128975477971,False,2,2,2
362,363,2.25,0.75,222.73760901957323,0.4275945024698433,False,2,1,1
363,364,1.5,1.0,315.73497082257774,0.6165047223599274,False,3,3,1
364,365,1.5,1.5,382.66003364895647,0.46371783550709245,False,2,2,1
365,366,2.75,1.75,271.07445965426143,0.06670547200468736,False,2,2,1
366,367,2.25,1.5,315.306041273036,0.32579777271325994,False,3,3,1
367,368,2.5,1.0,219.04871973110062,0.4604872431286442,False,3,2,1
368,369,2.0,2.0,368.05195321228786,0.5913522370758745,False,2,1,1
369,370,0.5,1.0,384.3024562919206,0.39788062662503176,False,0,0,1
370,371,1.5,1.5,180.68476413452743,0.10526484738332062,False,2,2,2
371,372,1.0,2.75,399.63031348910124,0.5503904467773538,False,0,0,1
372,373,0.0,2.75,389.6822601221854,0.492804946680991,False,0,0,1
373,374,0.5,2.0,200.25071110674298,0.42356819317304295,False,0,0,2
374,375,3.0,0.5,147.3524813759277,0.14553992732280513,False,2,2,3
375,376,0.5,2.25,111.63637500907768,0.14553992732280513,False,0,0,1
376,377,1.0,9999.0,9999.0,9999.0,False,0,0,2
377,378,0.5,1.75,262.7276653144192,0.3978321501236212,False,0,0,1
